datetime	T	RH	WIND	SW	P	SWE	LW	EL
2008-10-13 0:0	-12.745	 0.717	 0.518	-3.274	     0	 37.48	 150.1	     0
2008-10-13 1:0	-13.14	0.6387	 0.453	-3.597	     0	37.495	 147.9	     0
2008-10-13 2:0	-13.155	0.5547	 0.468	-3.666	     0	 37.51	 146.1	     0
2008-10-13 3:0	-12.505	0.5069	 1.068	-4.425	     0	37.525	   145	     0
2008-10-13 4:0	-12.635	0.5055	 0.863	-4.221	     0	37.539	 144.1	     0
2008-10-13 5:0	-13.01	0.5076	 0.475	-4.183	     0	37.554	 142.7	     0
2008-10-13 6:0	-13.51	0.5846	 0.272	-3.654	     0	37.569	 141.4	     0
2008-10-13 7:0	-13.235	 0.546	 0.512	 35.25	     0	37.896	 140.9	7.1017
2008-10-13 8:0	-10.045	0.4228	 0.109	 238.1	     0	38.222	 143.3	18.099
2008-10-13 9:0	-5.357	0.3815	 1.147	 460.1	     0	38.549	   148	28.062
2008-10-13 10:0	-3.879	0.3819	 1.513	 645.5	     0	38.875	 154.9	  36.3
2008-10-13 11:0	-2.555	0.3804	 2.236	   774	     0	39.202	 164.1	41.848
